,question
4470,What controls the movements of hands and arms?
4471,Refraction happens when light bends from doing what in a new medium?
4472,"What is the basic structure that holds plants upright, allowing plants to get the sunlight and air they need?"
4473,"The waves on the strings of musical instruments are transverse—so are electromagnetic waves, such as visible light. sound waves in air and water are this?"
4474,What is the name of the elongated bony structure that anchors the anterior thoracic cage?
4475,What is the most numerous species on the planet?
4476,What are the earth's two poles called?
4477,Chloroplasts and chromoplasts are examples of which membrane bound organelle containing their own dna?
4478,Birds are the most numerous  type of what vertebrates?
4479,Viruses were assumed to exist before they were first seen with an electron microscope in which decade?
4480,Matter is always conserved in what type of reaction?
4481,"Most flowers carry both stamens and carpels; however, a few species are capable of what and are nicknamed ""perfect"" flowers?"
4482,The entry of food into the esophagus marks the beginning of the esophageal phase of deglutition and the initiation of this?
4483,Where are the seeds in gymnosperms found?
4484,Oil is found in the porous rock layer and trapped by the what?
4485,The number of valence electrons determines variation of what property in nonmetals?
4486,Hydrogen and helium are specifically involved as reactants in what nuclear reaction that is useful for making energy?
4487,What is the most widely used form of renewable energy in the world?
4488,What energy is the energy of motion?
4489,Where do stratus clouds occur in the troposphere?
4490,What kind of movement do planets in the solar system make around the sun?
4491,Which process breaks down glucose to extract energy for cell metabolism?
4492,What does fluorine attract better than any other element?
4493,What term is used to describe the muscular canal (approximately 10 cm long) that serves as the entrance to the reproductive tract?
4494,What type of energy travels through space as electrical and magnetic waves?
4495,What are subatomic particles of the nucleus called?
4496,What blood pressure reading measures the pressure in the vessels between heartbeats?
4497,What holds ionic and covalent compounds together?
4498,Amines are bases; they react with acids to form what?
4499,"If water from a spring can't flow downwards, it can spread out to form one of 2 things.  what are they?"
4500,Energy is lost as heat between each trophic level due to the second law of what?
4501,What are electrons in the outer energy level of an atom called?
4502,Halogens tend to form salts with what type of element?
4503,"The voltage is measured using a voltmeter, which measures which difference across two points?"
4504,What is the vertical extent of ocean water called?
4505,"Echinoderms are found in many different ocean environments, but most are found where?"
4506,A convergent plate boundary is created when two plates do what?
4507,"When volcanoes erupt, what from the mantle is released as carbon dioxide into the air?"
4508,"Sepals, petals, pistils, and stamens are contained in all what, which are actually modified leaves or sporophylls organized around a central stalk?"
4509,What do cells do in order to replace damaged or worn out cells?
4510,What kind of agriculture destroyed about 10% of madagascar's native plants?
4511,Chloroplasts are the little green particles in plants made up of what colorful pigment?
4512,What is the largest organ of the human body?
4513,What kind of charge does a proton have?
4514,What are boggy regions with thick layers of peat called?
4515,What type of compounds make up the cells and tissues of living things?
4516,Anything that has mass and takes up space is considered what?
4517,What will you see if you look at a star through a prism?
4518,Where is most digestion completed?
4519,Explosive eruptions associated with what can be tens of thousands of times as powerful as an atomic bomb?
4520,What gland secretes its products directly into the urethra through several small ducts
4521,The complete combustion of alkanes to carbon dioxide is an extremely __________ reaction.
4522,"What is the study of structure, properties, and interactions of matter?"
4523,"Because several genes, each with more than one allele, contribute to determining height in humans, height is considered what kind of trait?"
4524,"A basidium is the fruiting body of a mushroomproducing fungus, and it forms four what?"
4525,Traditional classification of mammals are based on similarities in what two things?
4526,The rest of the energy stored in glucose is lost as what?
4527,Water that is lost through the skin through evaporation from the skin surface without overt sweating and from air expelled from the lungs is known as what?
4528,What are the only innate behaviors in humans?
4529,"What occurs when a parent organism breaks into fragments, or pieces, and each fragment develops into a new organism?"
4530,What does the triploid cell develop into during fertilization?
4531,"The law of conservation of matter, which says that matter cannot be created or this?"
4532,Which particle of an atom has a positive electric charge?
4533,How is a reaction described when the given conditions favor formation of products?
4534,What does an electric field surround?
4535,Lack of what mineral causes rickets?
4536,What do we call the energy of motion?
4537,Earthquakes and visible light are examples of what?
4538,"There is always a slightly negative pressure within what cavity, helping keep the airways of the lungs open?"
4539,What property allows cut logs to float on water?
4540,Different interatomic distances produce different lattice what?
4541,What organs filter blood and form urine?
4542,A chain of what structures form as an oceanic plate moves over a hotspot?
4543,"What is responsible for many properties of covalent compounds, which have relatively low boiling points, cannot conduct electricity, and may not dissolve in water?"
4544,"Tanning salons claim to use a “safe” form of what light, with a longer wavelength than that in sunlight?"
4545,Respiratory therapists or respiratory practitioners evaluate and treat patients diseases affecting what part of the body?
4546,"Within each sporangium, hundreds of what kind of spores develop and are dispersed through the air?"
4547,What delivers power to the chemical factory chloroplasts?
4548,Which type of bryophytes are named for their horn-like sporophytes?
4549,What do you call a carnivore that eats mainly insects?
4550,"Oxygen has the second highest electronegativity of any element; consequently, it prefers to share or accept electrons from other elements. only with fluorine does oxygen form compounds in this?"
4551,What component of cells is present in plant and bacterial cells but not animal cells?
4552,Energy cannot be created or destroyed - it can only change what?
4553,Most fungi can reproduce in which 2 ways?
4554,What is a pair of valence electrons in a bonded atom that does not participate in bonding called?
4555,"When a metal is oxidized and a nonmetal is reduced in a redox reaction, what is the resulting compound called?"
4556,A biofilm is a colony of prokaryotes that is stuck to what?
4557,What is the part of the flower that produces pollen?
4558,What neutralizes the acidity of chyme and acts as a buffer?
4559,What type of stress causes horizontal motions in strike-slip faults?
4560,"The structure of the boeing 787 has been described as essentially one giant macromolecule, where everything is fastened through cross-linked chemical bonds reinforced with this?"
4561,What is the term for the process in which two atomic nuclei fuse together to make a single nucleus?
4562,"In human beings, when a female becomes pregnant, what is fertilized and then embedded in the uterus?"
4563,What has increased the greenhouse effect?
4564,How many pairs of chromosomes are there?
4565,What structure passes oxygen and nutrients to a growing fetus in mammals?
4566,Light from a distant galaxy can travel different paths to the earth because it is bent around an intermediary galaxy by what?
4567,What is the fruiting body that occurs after two hyphae mate and form a mycelium with sporangia?
4568,What branch of science aims to understand all about our planet and its environments?
4569,Prokaryotes are successful because of the ________ of reproduction in favorable environments
4570,Where do benthos live in oceans?
4571,"Hundreds of organelles called myofibrils, made up of two types of protein filaments, are contained in each fiber of what?"
4572,What is the largest known virus?
4573,The temperature at which something melts is refered to as what?
4574,Solid bedrock vibrates less and therefore does less of what to bedrock?
4575,What branch of science is defined as the study of matter?
4576,What are animals that live with tiny zooxanthellae that also photosynthesize?
4577,What usually causes fractures on a bone?
4578,What is the magnetic field traditionally referred to as?
4579,What can ultimately result when species are introduced to a new place and prey on other species?
4580,"In humans, what is the first organ to form and become functional?"
4581,What is used to classify tornadoes?
4582,What do you call materials that have high resistance to electric current?
4583,What term is used to describe the development of new technology?
4584,"Cell walls, plastids, and a large central vacuole distinguish plant cells from what?"
4585,"Snails, scallops, and squids are what type of invertebrate?"
4586,Humans create different breeds of organisms using what kind of selection?
4587,"The word antibiotic comes from the greek anti, meaning “against,” and bios, meaning this?"
4588,What are sudden and dramatic losses of biodiversity called?
4589,The ions in ionic compounds are arranged in rigid three-dimensional patterns called what?
4590,Where was the distinction between total distance traveled and displacement first noted?
4591,What science is the study of the shape and arrangement of cells in tissue?
4592,What forms when a sperm fertilizes and egg?
4593,The field of organic chemistry studies the structure and reactivity of compounds containing what element?
4594,"Where does growth in length occur, above the root cap?"
4595,Asci are used by mycelia for what kind of reproduction?
4596,What is the term used to describe the liquid that moves through the vessels and includes plasma and the cells and sell fragments called platelets?
4597,"The density of bone is, in part, related to the amount of what mineral in one’s diet?"
4598,What is the sum of the masses of the atoms in a molecule?
4599,"Chloroplasts, leucoplasts and chromoplasts are found in what type of cells?"
4600,"Salt in seawater causes it to have greater what, which is also affected by temperature and pressure?"
4601,What is the name of a long and low hill of sediments which have been deposited by a glacier?
4602,The temperature of the products is typically lower than the temperature of the reactants in what type of reaction?
4603,What is the most common type of cancer in adult females?
4604,Green plants known as producers provide basic food supply for what besides themselves?
4605,The lipids that are connected to the glucose pathways are cholesterol and triglycerides. cholesterol is a lipid that contributes to cell membrane flexibility and is a precursor of this?
4606,What chemical reaction is the opposite of oxidation?
4607,What structure is a larger assembly of several polypeptide chains that are now referred to as subunits of the protein?
4608,"The punnett square shows the possible what, and their most likely ratios?"
4609,"Angiosperms produce their gametes in separate organs, which are usually housed in these?"
4610,What are the two types of charges?
4611,What is the name for a change in a single nucleotide in dna?
4612,Ocean acidification results from the ocean absorbing what gas from the atmosphere?
4613,What are organisms that feed on available plants called?
4614,What is the limiting factor for bacteria in a dish?
4615,Where are some of the greatest concentrations of species found?
4616,What do tadpoles clear out of waterways?
4617,What theory says stresses build on both sides of a fault?
4618,How many pairs of autosomes are there?
4619,What are the only living organisms that can make their own food?
4620,"The brain and spinal cord are part of what system, which serves as a control center?"
4621,What are the highest clouds in the atmosphere?
4622,What type of reproduction results in genetically unique offspring?
4623,What is a disorder of glucose metabolism in which insulin production by the pancreas is impaired?
4624,"Splitting of the nucleus of a radioactive atom into two smaller nuclei yields what type of reaction, which releases a great deal of energy from a small amount of matter?"
4625,Colliding-beam accelerators create matter from what?
4626,What is the term for the measure of the force of gravity pulling down on an object?
4627,Aging is associated with the death of what?
4628,Animals that live in groups with other members of their species are called what?
4629,What are typically named for their major physical or climatic factors in addition to their predominant vegetation?
4630,What type of vents are giant tube worms found at?
4631,What results when a force does work?
4632,"At the earth’s surface, the air pressure exerted on you is a result of the weight of what above you?"
4633,What is a common condition caused by stomach acid?
4634,Where do the majority of species live?
4635,What process brings nutrients from the ocean's floor to its surface?
4636,Crests and troughs are the high and low points of a what?
4637,What is the term for materials that have been left behind by organisms that once lived?
4638,A penguin must do what before molting?
4639,"The pelvic girdle, consisting of a hip bone, serves to attach a lower limb to this?"
4640,Why does water have a high surface tension?
4641,What are the two types of vascular tissues found in vascular plants?
4642,What are the two types of photoreceptors in the retina?
4643,Forces which cause objects to turn around continuously in a circle are known as?
4644,Why is a synthetic diamond not considered a mineral?
4645,What type of plug is generally used on metal appliances?
4646,What term describes the ability of matter to combine chemically with other substances?
4647,What occurs when waves interact with other waves?
4648,What is defined in physics as the amount of force pushing against a given area?
4649,What do you call the heat below earth’s surface that can be used to produce electricity?
4650,How do most plants create food?
4651,"In a ketone, two of which kind of groups are attached to the carbonyl carbon atom?"
4652,Tapeworms are what type of flatworms?
4653,"In most crustaceans, what two structures fuse to form a cephalothorax?"
4654,"What class of animal, including hydras and jellies, is considered the simplest to contain a nervous system?"
4655,"When iron and sulfur are mixed together in a certain ratio and heated, what do they become?"
4656,What do many scientists think are the oldest eukaryotes?
4657,"Culprits in the common cold and aids, what infectious agents are far smaller and simpler than bacteria?"
4658,What triangular feature is formed when a river empties into a large body of still water?
4659,Professionals known as genetic counselors can help them understand the risks of?
4660,"What type of fronts often bring sudden changes in the weather, including different types of precipitation, depending on the season?"
4661,"Similarity in biochemicals, like the glucose used by virtually all living things for energy, provides evidence of what?"
4662,"In type 2 diabetes, body cells do not respond to normal amounts of what hormone?"
4663,What fibres are seen in some vertebrates that twitch at rates far faster than any human muscle?
4664,The cytoplasm divides during what process?
4665,Where do birds store and moisten food that is waiting to be digested?
4666,Where can you find humid subtropical climates?
4667,What type of lenses can correct myopia?
4668,"Photoautotrophs including (a) plants, (b) algae, and (c) cyanobacteria synthesize their organic compounds via photosynthesis using sunlight as this?"
4669,Glaciers modify the landscape by what?
4670,The cells in the follicle undergo physical changes and produce a structure called a what?
4671,Scientists can use what tool to determine an earthquake's strength?
4672,How many moons does pluto have?
4673,Huge calderas form when the mountain above an empty chamber of what collapses?
4674,What type of bonds are the attractive forces between the positively charged nuclei of the bonded atoms and one or more pairs of electrons that are located between the atoms?
4675,Chemical elements and water are constantly recycled in the ecosystem through what?
4676,What system is the spinal cord related to?
4677,What is the total range of the energy from the sun called?
4678,"Plants have specialized organs that help them survive and reproduce in a great diversity of habitats. major organs of most plants include roots, stems, and what?"
4679,The lungs of mammals are unique in having what?
4680,The organs of female mammals that that produce eggs are called what?
4681,What do you call the patterns and groups of stars in the sky that ancient people observed and made stories about?
4682,Each enzyme has an optimal what at which its reaction rate is greatest?
4683,What type of prokaryotes live in habitats without oxygen?
4684,What is the only metal that is liquid at room temperature?
4685,What do animals store with the help of saturated fatty acids?
4686,What are the dark areas of the moon called?
4687,What do people use from aquifers from springs or wells?
4688,What item lost by diffusion and in the urine are replenished by eating?
4689,What is the primary cause of air movement in the troposphere?
4690,"In cellular respiration, glucose is broken down and what is made?"
4691,The sum of the kinetic and potential energies of a system’s atoms and molecules is called what?
4692,"After what state is reached, the concentrations of all reaction components remain constant unless a change is made to the system?"
4693,What type of reproduction is exemplified by starfish and yeasts?
4694,What is the scientific term for stored energy an object has due to its position or shape?
4695,What kind of current flows in just one direction?
4696,Most motions in nature follow ________ rather than straight lines?
4697,An object's energy due to motion is known as?
4698,"While populations with unlimited resources grow exponentially, the population of a species will level off when what limit of its environment is reached?"
4699,Group 16 is called what?
4700,What type of temperatures increase the likelihood of fires?
4701,Fertilizer runoff can create what type of zones in the ocean?
4702,What kind of electricity can you generate with the energy found in flowing water?
4703,"At the time of birth, bones of the brain case are separated by what wide areas of fibrous connective tissue, which later become sutures?"
4704,What are inorganic compounds that take the form of discrete molecules called?
4705,The other ammonium ions are changed into nitrogen gas by what?
4706,What is typical weather for chicago in winter?
4707,What works by providing a lower energy pathway from reactants to products?
4708,What is the smallest part of a compound?
4709,What layer of skin is located right beneath the epidermis?
4710,Some terrestrial species breathe through their skin and oral cavity because they lack what?
4711,What is the main type of cell in the nervous system called?
4712,"Many ionic compounds occur as hydrates, compounds that contain specific ratios of loosely bound water molecules, called waters of hydration. waters of hydration can often be removed simply by doing this?"
4713,"When blood vessels in the head dilate, what kind of severe headache can occur?"
4714,Acne and different types of cancer can affect what large organ?
4715,Prokaryotic cells can only regulate gene expression by controlling the amount of what?
4716,Where do oceans absorb gases from?
4717,Engaging in relatively simple behaviors helps maintain a nearly constant body temperature for organisms classified as what?
4718,Meningitis is an infection of the membranes that cover the brain and what else?
4719,What use enzymes to break down foreign matter and dead cells?
4720,What is indicated by the ratio of the output force to the input force in a machine?
4721,Glucocorticoids and mineralocorticoids are the two main types of what in humans?
4722,What keeps the earth orbiting the sun?
4723,How do bees communicate to tell other bees where food is located?
4724,"Along with nerve tissue, what kind of tissue are lecithins and cephalins important constituents of?"
4725,Metal detectors used for airport security work on which principle?
4726,Methanogens in their gut enable what process in cows?
4727,The skeleton of lampreys is made of what?
4728,How do amphibians reproduce?
4729,What are scientists called who study the weather and give forecasts?
4730,Autocrine signaling takes place within the same what?
4731,Both dna and rna are what type of acids?
4732,"What kind of a resource is soil, for human purposes?"
4733,A natural resource that is consumed or used up faster than it can be made by nature is termed what?
4734,An electrical motor changes electrical energy into what?
4735,What is name for a piece of collagen-rich skin formed after the process of wound healing that differs from normal skin?
4736,Young eutherians complete their embryonic development within what?
4737,"Nuclear reactors use fission reactions to vaporize water, producing steam to drive a turbine and generate what?"
4738,What type of air do plants take in and use?
4739,How long can a large star be on the main sequence stage?
4740,What do you call the pattern of lines formed when light passes through a prism to separate it into the different frequencies of light it contains?
4741,What is the term for a watertight seal between two adjacent animal cells?
4742,"What is at the surface of a cell, arranged in similar bilayer?"
4743,Vitamins are organic compounds that are essential in very small amounts for the maintenance of normal what?
4744,"In eukaryotic cells, what divides before the cell itself divides?"
4745,The joint that lies between the radius and the ulna is what kind of joint?
4746,"Because it damages hair cells, what is the most cause of hearing loss in adults?"
4747,What is regulated to ensure that the correct proteins are made?
4748,"What mirrors diverge light rays and, thus, have a negative focal length?"
4749,During what stage are chromosomes condensed enough to be seen under a microscope?
4750,What is an odorless white solid that is harmless unless consumed in large quantities?
4751,"Melting, sublimation, and evaporation absorb what from their surroundings?"
4752,What is the series of changes in the reproductive system of a mature female that happens monthly?
4753,What is the average number of individuals per unit of area or volume called?
4754,What types of living beings have water vascular systems and unique tube feet?
4755,Which two gases make up the bulk of earth's atmosphere?
4756,What is the decayed remains of living organisms called?
4757,The motor thus acts as a generator whenever its coil does what?
4758,Norovirus causes the inflammation of the stomach and what else?
4759,What forms when tectonic plates move above a hot spot?
4760,What is the multicellular diploid stage called?
4761,Myopia is commonly called what?
4762,The prostate gland secretes a fluid that mixes with sperm to help form what?
4763,About 95 percent of lipids are absorbed in what organ of the digestive system?
4764,What type of work called occurs when a system pushes back the surroundings against a restraining pressure?
4765,"In some parts of the world, too much of the sun's harmful uv radiation gets through because of a hole in what layer?"
4766,What type of animal eats both plants and animals?
4767,What is the term for the muscular duct through which sperm are propelled?
4768,What is the most common cause of cancer?
4769,The testes produce what hormone?
4770,Capillaries are narrow-diameter tubes that can fit red blood cells through in single file and are the sites for the exchange of what?
4771,Pieces of the cell break off and form a new cell in what type of reproduction that produces genetically identical organisms?
4772,How do most reptiles produce?
4773,The minimum amount necessary for self-sustained fission of a given nuclide is called what?
4774,What are genes that are close together on the same chromosome called?
4775,What do neutral atoms have the same number of?
4776,Omnivores are animals that eat both plant- and?
4777,"Bacterial dna is contained in a large, circular strand; this single chromosome is located in a region of the cell called what?"
4778,Which primate group generally lives alone?
4779,Carbon and what are the second and third most abundant elements in your body?
4780,Glucagon and insulin are produced in what organ?
4781,"Anagen, catagen and telogen are phases in the growth of what, which involves the root and follicle?"
4782,"What is the scientific term for the dropping of leaves, fruits, and flowers, which led to the naming of an acid thought to play a role in the process?"
4783,Sudden changes in geologic and climatic conditions can spur what process?
4784,"What is the fluid that carries sperm through the urethra and out of the body, and provides it with nutrients?"
4785,In what unit is frequency measured in?
4786,Mixtures of materials called alloys contain at least one of what type of material?
4787,The challenge of techniques used for proteomic analyses is the difficulty in detecting small quantities of what?
4788,What type of gas is delivered to homes to use for cooking and heating?
4789,Chewing a bite of bread mixes it with what and facilitates its chemical breakdown?
4790,What is occurring at an alarming rate as a result of global climate change and the constant melting point of ice?
4791,What triggers the fight-or-flight response?
4792,What is the term for the force applied to a wheel and axle?
4793,Magnetic resonance imaging devices use what to cool the superconducting magnets?
4794,Water moving up the plane and evaporating from the leaves is a process known as what?
4795,How many bones fuse together to form the cranium?
4796,What is the amount of moisture in the atmosphere?
4797,What heisenberg principle imposes ultimate limits on what is knowable in science?
4798,Narrowing of the arterioles causes an increase of what upstream in the arteries?
4799,What are double sugars called?
4800,"Cells that undergo cell division continue to have their telomeres shortened, thus telomere shortening is associated with what life process?"
4801,Which two basic parts of a plant develop tough outer coatings to protect the plant from the environment?
4802,What is the name for a kind of animal that eats a mix of plant and animal foods.
4803,"Oxygenated air, taken in during inhalation, diffuses across the surface of the lungs into the what?"
4804,"What substances, which serve as catalysts, are involved in most of the chemical reactions that take place in organisms?"
4805,What is the type of plant called when its leaves seasonally turn color and fall off?
4806,"Besides the endocrine system, what other system exerts control over all the organ systems of the body?"
4807,What is the area where an electron is most likely to be found called?
4808,The part of the ecosystem required by a particular species is endangered when human activity threatens loss of what?
4809,What is the wavelength of light expressed in?
4810,What is found inside the pores of spongy bone?
4811,The strength of an acid depends on how many of which ions it produces when it dissolves in water?
4812,How many oxygen ions make up an ozone molecule?
4813,"While light travels at different speeds in different kinds of matter, the speed of light is constant in what condition?"
4814,What kind of solution might cause animal cells to burst?
4815,Transition metals are superior conductors of heat as well as what else?
4816,Our digestive system breaks down starch to what?
4817,What happens to a tectonic plate when it subducts?
4818,A monosaccharide is the simplest carbohydrate and cannot be hydrolyzed to produce a smaller what?
4819,What is the term for if multiple sperm fuse with an egg?
4820,"As air pressures inside and outside of the ear equalize, what phenomenon is produced?"
4821,How many pairs of chromosomes are there?
4822,"Food is broken into smaller particles by mastication, a process involving action by what structures?"
4823,Cell communication that occurs over short distances is known as what?
4824,"Triggering a blink when something touches the surface of the eye, the corneal reflex is what type of reflex?"
4825,Vascular disorders involve problems with the flow of what?
4826,"In eukaryotes, mrna may be modified before leaving what?"
4827,Velocity affects what type of energy more than mass does?
4828,In which way do vertebrates reproduce?
4829,Neutrons and protons reside in which part of the atom?
4830,What are the two best known baryons?
4831,Mutation creates new genetic variation in what?
4832,What hormone controls milk production in mammary glands?
4833,Cellular respiration brings hydrogen and oxygen together to form what?
4834,What are the two components of the autonomic nervous system?
4835,Where do lancelets live?
4836,What is caused when circulating blood puts pressure on the walls of blood vessels?
4837,What is the most common bacterial sti in the u. s.?
4838,In what unit is heat measured in?
4839,In which type of cells are most organelles not found?
4840,Which three colors are called the primary colors of light?
4841,Water dissolving minerals out of rocks makes ocean water what?
4842,"Like the energy content in food, the energy expenditures of exercise are also reported in what units?"
4843,What's the term for an allele that's always expressed over another?
4844,Series and parallel circuits are two basic types of what?
4845,Transport of water and solutes in plants water potential is a measure of the difference in potential energy between a water sample and this?
4846,"Three distinct layers or tunics form the walls of what structures; the first is a smooth, inner lining of endothelial cells in contact with the red blood cells?"
4847,Groundwater does what to the rock beneath the ground surface?
4848,"Technetium is named after the greektechnikos, meaning “artificial,” because all its isotopes are what?"
4849,What is a galvanic process that can be prevented using cathodic protection?
4850,"What are drumlins, eskers, and kettle lakes formed by?"
4851,What is the vector sum of all the torques acting on the object called?
4852,An electric current flows in a path called what?
4853,What gas can be generated by reacting sodium bromide with elemental chlorine?
4854,What is a close relationship between two species in which at least one species benefits?
4855,"Over many generations, the resulting genetic diversity provides valuable raw material for what?"
4856,What pulls skydivers towards the earth?
4857,What occurs when a gas passes through an opening that is smaller than the mean free path of the particles?
4858,"What are the preserved remains of animals, plants, and other organisms called?"
4859,What group of elements cannot conduct electricity?
4860,"What is the name of a tough, fibrous membrane which protects the outer layer of bone?"
4861,Bond lengths are intermediate between covalent single bonds and what?
4862,"Under a microscope, salt crystals are what shape?"
4863,Where part of the atmosphere is the uppermost mantle?
4864,"In a heat map, what color represents the hottest temperatures?"
4865,"All living things require what, which most ecosystems obtain from the sun?"
4866,Kelvin is a temperature measure in which the lowest temperature is what?
4867,The basic fabric of most biological membranes is a double layer of _________ and other lipids?
4868,What is the name for the organs behind the head of a fish that absorb oxygen from water?
4869,"What system gets less effective with age, that generally makes older people more disease susceptible?"
4870,Which type of tides are created when the sun and moon's tides match?
4871,What is the process of creating an exact genetic replica of an organism called?
4872,An example of hydrolysis working within our bodies is the process of what?
4873,What theory can explain virtually all the properties of metals?
4874,"Serious imbalances, cancer and other diseases can result when expression of what goes awry?"
4875,"Which organ's diseases include kidney stones, infections, and kidney failure due to diabetes?"
4876,"What single-celled organism can be either a predator, decomposer, herbivore, or parasite in the food chain?"
4877,"What layer, made of hot, solid rock, is beneath the earth's crust?"
4878,Some bacteria can contaminate food and cause what illness?
4879,The enzyme pepsin works only in the presence of what?
4880,What organisms known as decomposers break down wastes and dead organisms into smaller molecules?
4881,Both flukes and tapeworms are parasites with what kind of host?
4882,What is the transfer of information from rna to dna called?
4883,"In science, anything that has mass and volume is considered what?"
4884,Cells with different functions often differ in what physical property?
4885,Wich disorder arises when defective valves allow blood to accumulate within the veins?
4886,Ocean water has what property because water dissolves minerals out of rocks?
4887,What term refers to patterns of stars seen from earth?
4888,What gives the plant cell strength and protection?
4889,"If pollination occurs, what does the zygote develop into?"
4890,"Hiv has proteins called what, internal to the envelope, which help stabilize virion shape?"
4891,What are two basic types of pollutants in the air?
4892,How do humans learn behaviors?
4893,Just about all life processes depend on what?
4894,"During labor, what do contractions of the muscular walls of the uterus cause?"
4895,How is communication initiated and maintained with spacecraft?
4896,Dna replication is the first step in what process for both eukaryotic and prokaryotic cells?
4897,The prostate is formed of both muscular and which other tissues?
4898,A mammal that reproduces by laying eggs is called what?
4899,"Adaptations that go along with the active, carnivorous lifestyle of sharks are known as?"
4900,What is considered to be the control center for homeostatic mechanisms?
4901,What molecules with a nitrogen base are the basic components of nucleic acids?
4902,What were the first vertebrates to evolve?
4903,What is defined as the rate of energy transferred?
4904,The cochlea and vestibul make up what part of the ear?
4905,An individual with the appropriate number of what for their species is called euploid; abnormalities in this number include trisomy and monosomy?
4906,"A, t, g, and c pairs are associated with what substance that is important in genetics?"
4907,"What female flower structure, which is part of the pistil, receives the pollen grains and passes them to the ovary?"
4908,What is used by sensitive systems to detect even low levels of radiation?
4909,What is the leading cause of skin cancer?
4910,What is cholera?
4911,Which element has atomic number 87?
4912,What is the basic chemical building block of matter; it is the simplest chemical substance?
4913,"What do you call the lower layer of soil that is permanently frozen, and is a frequent feature of tundra?"
4914,"Modern taxonomy is based on many hypotheses' of the evolutionary history of organisms, known as this?"
4915,What method plays a role in determining the approximate age of the earth and makes use of uranium?
4916,The study of energy and energy transfer involving physical matter is what?
4917,"In a science lab, what device would you use to measure the volume of a liquid?"
4918,Human blood has a buffering system to minimize extreme changes in what?
4919,The unpaired ethmoid bone is located where within the central skull?
4920,A statement is considered what if it is open to being falsified?
4921,Name the physical phenomenon of the ocean that has a significant impact on both ocean life and human life.
4922,"What is the process by which large particles, such as cells, are taken in by a cell?"
4923,Budding is a form of what type of reproduction in tunicates?
4924,Ocean water releases dissolved carbon dioxide into the atmosphere when what happens to the temperature?
4925,The physical sciences can be divided into physics and what other science?
4926,What do you call trees that lose their leaves in the fall and grow new ones in the spring?
4927,In which organ of the body does gluconeogenesis primarily take place?
4928,What kind of structure contains the largest known single cell?
4929,"While enzymatic hydrolysis proceeds, peristalsis moves the mixture of chyme and digestive juices along what?"
4930,What is the most common type of muscle in the human body?
4931,The last two stages of aerobic respiration require what?
4932,"The rate of dissolving is influenced by surface area, stirring, and what else?"
4933,What disease unique to humans and is caused by two variola viruses?
4934,What is the average kinetic energy of particles of matter?
4935,How can you prevent your ice cream from getting a sandy texture?
4936,"Plants can lose their leaves, flower, or break dormancy in response to a change in what?"
4937,"What is the second highest mountain in the world, at over 28,000 feet?"
4938,What are the two classifications of natural resources?
4939,Maintaining a high metabolic rate takes a lot of what?
4940,What is the photosynthesis factory of the plant?
4941,The process that a plant increases in size is known as what?
4942,What are reversible physical changes in matter called?
4943,Compounds that form from two or more nonmetallic elements are called what?
4944,"The ability to maintain a stable internal temperature, despite the climate, is exhibited by members of what animal group?"
4945,What are substances that provide hydrogen ions (h+) and lower ph?
4946,What are mercury manometers often used to measure?
4947,What did rockets help launch into space during their beginning?
4948,What sound can be heard when sound waves bounce back from a hard object?
4949,Robert merrifield developed the first synthetic approach for making what essential cell substances in the lab?
4950,"Strangeness, charm, bottomness, and topness are properties of what subatomic particle?"
4951,What needs to happen to temperature to cause pressure to increase dramatically?
4952,Australopithecus afarensis is an ancestor of what primate?
4953,Organs that produce eggs and secrete estrogen are part of what system?
4954,What are the most common types of compounds found on earth?
4955,Which planet is closest to the sun?
4956,What do you call it when adult fish of the same species come together in a group and release gametes into the water at the same time?
4957,What happens to the volume of a gas as the kelvin temperature increases?
4958,If only one atom of a specific type is present what is not used?
4959,What are the earliest reptile genus named?
4960,What produces all the cells of the root and the root cap?
4961,What is the master gland of the endocrine system?
4962,The earth’s biomes are categorized into two major groups named what?
4963,What does the thymus gland produce?
4964,During which phase does dna replication occur in the cell cycle?
4965,What kind of interactions do polar substances experience?
4966,Which process is glycolysis in during cellular respiration?
4967,Saturated hydrocarbons are given the general name of what?
4968,"In the cellular process of transcription, dna code is converted into what other kind of code?"
4969,"If a gyroscope is not spinning, it acquires angular momentum in the direction of what?"
4970,Which leukocytes are first to respond to bacterial infections?
4971,What thin whip-like structures help prokaryotes move toward food or away from toxins?
4972,"What common process is used in the production of bread, cheese and alcoholic beverages?"
4973,"Comprising 10 percent of the mass of the brain, what structure has varied functions that all point to a role in the motor system?"
4974,What is a segment of dna that carries a code for making a specific polypeptide chain called?
4975,Introduction of antigens into the body through immunization can confer what benefit?
4976,What part of the brain is largest in intelligent mammals?
4977,What is the cause of most ocean waves?
4978,What is the lowest layer of the atmosphere called?
4979,What is the biggest group of animals on the planet?
4980,The presence of solute particles blocks some of the ability for liquid particles to do what?
4981,What are color and hardness physical properties of?
4982,What are steroid hormones made of?
4983,How many processes contribute to the emergence of viral diseases?
4984,What type of scale is the richter scale?
4985,Where is pedocal soil commonly found?
4986,What are the key cells in the immune response?
4987,Where are most chloroplasts found in plants?
4988,What type of x-linked trait is color blindness?
4989,What do you call a condensation reaction in which an ester is formed from an alcohol and a carboxylic acid?
4990,"These types of cella support young, growing parts of a plant?"
